TypeOfDewelling,BldgType,AbvGrndLivArea,Neighborhood,KitchenQual,NumGarageCars,YearBuilt,YearRemodAdd,ExterQual,LotArea,LotShape,Fireplaces,NumBathroom,Basement1Type,Basement1SurfaceArea,Basement2Type,Basement2SurfaceArea,TotalBasementArea,GarageArea,1stFlrArea,2ndFlrArea,Utilities,OverallQual,SalePrice
SPLIT OR MULTI-LEVEL,OneFam,1118,Mitchel,Average,1,1977,1977,Average,9880,Regular,1,1,AverageLivingQuarters,522,Unfinshed,0,1096,358,1118,0,AllUtilitiesAvl,6,171000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1261,NAmes,Average,2,1958,1958,Average,9120,Regular,1,1,AverageLivingQuarters,662,Unfinshed,0,1261,433,1261,0,AllUtilitiesAvl,6,163000
2-STORY PUD - 1946 & NEWER,TownhouseEndUnit,1250,Somerst,Good,2,2006,2007,Good,4017,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,625,625,625,625,AllUtilitiesAvl,7,171900
1-1/2 STORY FINISHED ALL AGES,OneFam,3086,ClearCr,Excellent,0,1946,1994,Average,18030,SlightlyIrregular,1,3,AverageRecRoom,152,BelowAverageLivingQuarters,469,1598,0,1636,971,AllUtilitiesAvl,5,200500
2-STORY 1945 & OLDER,OneFam,2345,Crawfor,Average,2,1932,1950,Average,16560,SlightlyIrregular,1,2,AverageRecRoom,503,Unfinshed,0,952,360,1170,1175,AllUtilitiesAvl,6,239000
1-1/2 STORY FINISHED ALL AGES,OneFam,2872,NoRidge,Good,2,1992,2000,Good,10678,Regular,1,2,GoodLivingQuarters,700,Unfinshed,0,1683,541,2129,743,AllUtilitiesAvl,8,285000
1-STORY 1946 & NEWER ALL STYLES,OneFam,923,Mitchel,Average,1,1984,1985,Average,6951,SlightlyIrregular,0,1,AverageLivingQuarters,658,Unfinshed,0,876,264,923,0,AllUtilitiesAvl,5,119500
1-1/2 STORY FINISHED ALL AGES,OneFam,1224,OldTown,Average,1,1926,2004,Average,3950,Regular,0,1,AverageRecRoom,468,Unfinshed,0,818,210,818,406,AllUtilitiesAvl,6,115000
1-1/2 STORY FINISHED ALL AGES,OneFam,1343,Crawfor,Average,1,1921,1950,Average,7681,SlightlyIrregular,1,1,Unfinshed,0,Unfinshed,0,731,186,820,523,AllUtilitiesAvl,5,154900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1124,Edwards,Average,0,1954,1954,Average,8335,Regular,1,1,,0,,0,0,0,1124,0,AllUtilitiesAvl,5,93000
2-STORY 1946 & NEWER,OneFam,2514,Timber,Average,2,1990,1991,Average,11170,ModeratelyIrregular,0,2,LowQuality,1216,Unfinshed,0,1216,693,1298,1216,AllUtilitiesAvl,7,250000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1652,Crawfor,Good,2,2008,2008,Excellent,5587,SlightlyIrregular,1,2,GoodLivingQuarters,1480,Unfinshed,0,1600,482,1652,0,AllUtilitiesAvl,8,392500
2-STORY 1946 & NEWER,OneFam,4476,NoRidge,Excellent,3,1996,1996,Good,15623,SlightlyIrregular,2,3,GoodLivingQuarters,2096,Unfinshed,0,2396,813,2411,2065,AllUtilitiesAvl,10,745000
1-STORY 1945 & OLDER,OneFam,1130,OldTown,Average,2,1920,1950,Average,10800,Regular,1,1,AverageRecRoom,821,Unfinshed,0,1120,720,1130,0,AllUtilitiesAvl,5,120000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1572,Timber,Average,3,1963,1963,Average,35133,Regular,2,1,AverageRecRoom,1159,Unfinshed,0,1572,995,1572,0,AllUtilitiesAvl,5,186700
1-1/2 STORY FINISHED ALL AGES,OneFam,1221,Edwards,Average,1,1924,1950,Average,9738,Regular,0,1,BelowAverageLivingQuarters,392,Unfinshed,0,784,392,949,272,AllUtilitiesAvl,5,104900
2 FAMILY CONVERSION - ALL STYLES AND AGES,2fmCon,1699,OldTown,Average,2,1900,1970,Average,10615,SlightlyIrregular,0,2,BelowAverageLivingQuarters,440,Unfinshed,0,978,420,1014,685,AllUtilitiesAvl,3,95000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1624,NoRidge,Good,3,1994,1995,Good,12461,Regular,1,2,GoodLivingQuarters,1456,Unfinshed,0,1624,757,1624,0,AllUtilitiesAvl,8,262000
2-STORY 1946 & NEWER,OneFam,1660,CollgCr,Good,2,2002,2002,Good,8935,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,831,493,831,829,AllUtilitiesAvl,7,195000
2-STORY 1946 & NEWER,OneFam,1804,Gilbert,Good,2,1999,1999,Average,7500,Regular,1,2,Unfinshed,0,Unfinshed,0,994,442,1028,776,AllUtilitiesAvl,7,189000
2 FAMILY CONVERSION - ALL STYLES AND AGES,2fmCon,1622,Mitchel,Average,4,1961,1975,Average,32463,Regular,1,1,BelowAverageLivingQuarters,1159,Unfinshed,0,1249,1356,1622,0,AllUtilitiesAvl,4,168000
2-STORY PUD - 1946 & NEWER,Twnhs,1441,Somerst,Good,2,1999,2000,Good,2645,Regular,0,2,Unfinshed,0,Unfinshed,0,776,492,764,677,AllUtilitiesAvl,8,174000
1-1/2 STORY FINISHED ALL AGES,OneFam,1472,OldTown,Good,1,1925,1994,Average,9600,Regular,0,1,Unfinshed,0,Unfinshed,0,702,250,842,630,AllUtilitiesAvl,5,125000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1224,Mitchel,Average,2,1999,1999,Average,4500,Regular,0,2,GoodLivingQuarters,883,Unfinshed,0,1224,402,1224,0,AllUtilitiesAvl,6,165000
2-STORY 1946 & NEWER,OneFam,1352,Sawyer,Average,1,1969,1969,Average,9364,Regular,0,1,AverageLivingQuarters,371,Unfinshed,0,663,299,663,689,AllUtilitiesAvl,6,158000
2-STORY 1946 & NEWER,OneFam,1456,Gilbert,Good,2,2005,2005,Average,8029,SlightlyIrregular,0,2,Unfinshed,0,Unfinshed,0,728,400,728,728,AllUtilitiesAvl,6,176000
2-STORY 1946 & NEWER,OneFam,1863,Gilbert,Good,3,2006,2006,Good,14054,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,879,660,879,984,AllUtilitiesAvl,7,219210
2-1/2 STORY ALL AGES,OneFam,1690,OldTown,Average,1,1916,1950,Average,8850,SlightlyIrregular,1,1,Unfinshed,0,Unfinshed,0,815,225,815,875,AllUtilitiesAvl,7,144000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1212,CollgCr,Good,2,2001,2001,Good,9100,Regular,0,2,Unfinshed,0,Unfinshed,0,1212,573,1212,0,AllUtilitiesAvl,7,178000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1382,Sawyer,Average,2,1963,1979,Average,11235,Regular,1,1,AverageRecRoom,547,Unfinshed,0,1051,459,1382,0,AllUtilitiesAvl,4,148000
1-STORY 1946 & NEWER ALL STYLES,OneFam,864,NAmes,Average,1,1970,1970,Average,9353,Regular,0,1,Unfinshed,0,Unfinshed,0,864,280,864,0,AllUtilitiesAvl,4,116050
2-STORY 1946 & NEWER,OneFam,1779,CollgCr,Good,2,1998,1998,Average,10400,Regular,0,2,Unfinshed,0,Unfinshed,0,866,546,866,913,AllUtilitiesAvl,7,197900
1-1/2 STORY FINISHED ALL AGES,OneFam,1348,BrkSide,Average,1,1925,1997,Average,6000,Regular,1,1,Unfinshed,0,Unfinshed,0,884,216,884,464,AllUtilitiesAvl,5,117000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1630,CollgCr,Good,2,2000,2001,Good,9750,Regular,1,2,Unfinshed,0,Unfinshed,0,1630,451,1630,0,AllUtilitiesAvl,7,213000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1074,NWAmes,Average,2,1975,1975,Average,10140,Regular,0,1,AverageLivingQuarters,788,Unfinshed,0,1056,495,1074,0,AllUtilitiesAvl,5,153500
1-STORY 1946 & NEWER ALL STYLES,OneFam,2196,SawyerW,Good,3,1990,1991,Good,14684,SlightlyIrregular,1,2,AverageLivingQuarters,485,BelowAverageLivingQuarters,177,2158,701,2196,0,AllUtilitiesAvl,7,271900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1056,SawyerW,Average,1,1966,1966,Average,8900,Regular,0,1,AverageRecRoom,1056,Unfinshed,0,1056,384,1056,0,AllUtilitiesAvl,4,107000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1700,CollgCr,Good,2,2003,2003,Good,9135,Regular,0,2,GoodLivingQuarters,340,Unfinshed,0,1682,544,1700,0,AllUtilitiesAvl,6,200000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1283,NAmes,Average,2,1962,1980,Average,7763,Regular,0,1,AverageRecRoom,504,BelowAverageLivingQuarters,108,931,506,1283,0,AllUtilitiesAvl,5,140000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1660,Somerst,Good,2,2006,2006,Good,10182,SlightlyIrregular,1,2,GoodLivingQuarters,1220,Unfinshed,0,1660,500,1660,0,AllUtilitiesAvl,8,290000
2-STORY 1946 & NEWER,OneFam,1845,SawyerW,Good,2,1992,1992,Good,11218,Regular,1,2,Unfinshed,0,Unfinshed,0,1055,462,1055,790,AllUtilitiesAvl,6,189000
1-1/2 STORY FINISHED ALL AGES,OneFam,1752,Gilbert,Average,2,1988,2005,Good,12134,SlightlyIrregular,0,2,GoodLivingQuarters,427,Unfinshed,0,559,492,1080,672,AllUtilitiesAvl,8,164000
1-STORY 1945 & OLDER,OneFam,672,Edwards,Average,1,1941,1950,Average,9340,Regular,0,1,AverageRecRoom,344,Unfinshed,0,672,234,672,0,AllUtilitiesAvl,4,113000
SPLIT OR MULTI-LEVEL,OneFam,960,Sawyer,Average,1,1965,2001,Average,10246,SlightlyIrregular,0,0,GoodLivingQuarters,648,Unfinshed,0,648,364,960,0,AllUtilitiesAvl,4,145000
SPLIT FOYER,OneFam,999,NAmes,Average,1,1962,1962,Average,10205,SlightlyIrregular,0,1,BelowAverageLivingQuarters,784,Unfinshed,0,925,300,999,0,AllUtilitiesAvl,5,134500
1-STORY 1946 & NEWER ALL STYLES,OneFam,894,Sawyer,Average,1,1966,1966,Average,7094,SlightlyIrregular,0,1,AverageRecRoom,180,LowQuality,374,894,384,894,0,AllUtilitiesAvl,5,125000
DUPLEX - ALL STYLES AND AGES,Duplex,1902,Sawyer,Average,2,1978,1978,Average,8930,Regular,0,2,,0,,0,0,539,1318,584,AllUtilitiesAvl,6,112000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1314,Somerst,Good,2,2009,2009,Good,8640,Regular,0,2,GoodLivingQuarters,936,Unfinshed,0,1300,552,1314,0,AllUtilitiesAvl,8,229456
1-1/2 STORY FINISHED ALL AGES,OneFam,912,BrkSide,Average,0,1947,1950,Average,6240,Regular,0,1,,0,,0,0,0,672,240,AllUtilitiesAvl,4,80500
2-STORY PUD - 1946 & NEWER,Twnhs,1218,BrDale,Average,0,1971,1971,Average,1680,Regular,0,1,Unfinshed,0,Unfinshed,0,672,0,672,546,AllUtilitiesAvl,6,91500
1-STORY 1946 & NEWER ALL STYLES,OneFam,912,NAmes,Average,1,1964,1964,Average,7800,SlightlyIrregular,0,1,AverageRecRoom,312,LowQuality,600,912,288,912,0,AllUtilitiesAvl,5,115000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1211,Sawyer,Average,1,1968,1968,Average,8250,Regular,1,1,BelowAverageLivingQuarters,250,LowQuality,492,952,322,1211,0,AllUtilitiesAvl,5,134000
1-1/2 STORY FINISHED ALL AGES,OneFam,1846,NAmes,Average,1,1949,1950,Average,10496,Regular,1,2,AverageRecRoom,196,Unfinshed,0,1040,315,1168,678,AllUtilitiesAvl,6,143000
1-STORY 1946 & NEWER ALL STYLES,OneFam,2136,NAmes,Average,2,1951,1951,Average,10680,Regular,0,2,LowQuality,756,Unfinshed,0,2136,528,2136,0,AllUtilitiesAvl,5,137900
2-STORY 1946 & NEWER,OneFam,1490,Gilbert,Good,2,2004,2005,Good,15384,SlightlyIrregular,1,2,GoodLivingQuarters,724,Unfinshed,0,788,388,788,702,AllUtilitiesAvl,7,184000
SPLIT OR MULTI-LEVEL,OneFam,1138,NAmes,Average,1,1958,1958,Average,10482,Regular,0,1,GoodLivingQuarters,507,Unfinshed,0,588,264,1138,0,AllUtilitiesAvl,6,145000
2-STORY 1946 & NEWER,OneFam,1933,Somerst,Good,3,2007,2007,Good,14598,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,894,668,894,1039,AllUtilitiesAvl,6,214000
1-STORY 1946 & NEWER ALL STYLES,OneFam,912,NAmes,Good,2,1965,2008,Average,8872,Regular,0,1,AverageLivingQuarters,595,Unfinshed,0,912,576,912,0,AllUtilitiesAvl,5,147000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1702,NridgHt,Excellent,3,2008,2008,Excellent,8769,Regular,1,1,GoodLivingQuarters,1540,Unfinshed,0,1702,1052,1702,0,AllUtilitiesAvl,9,367294
SPLIT OR MULTI-LEVEL,OneFam,1507,NAmes,Average,1,1960,1960,Average,7910,Regular,0,2,AverageLivingQuarters,666,Unfinshed,0,1075,404,1507,0,AllUtilitiesAvl,5,127000
DUPLEX - ALL STYLES AND AGES,Duplex,2620,Sawyer,Average,2,1977,1977,Average,18890,SlightlyIrregular,1,2,GoodLivingQuarters,498,AverageRecRoom,211,1361,600,1361,1259,AllUtilitiesAvl,5,190000
DUPLEX - ALL STYLES AND AGES,Duplex,1190,NAmes,Average,2,1962,1962,Average,7728,Regular,0,1,AverageLivingQuarters,803,Unfinshed,0,1106,540,1190,0,AllUtilitiesAvl,5,132500
DUPLEX - ALL STYLES AND AGES,Duplex,1224,NAmes,Average,2,1962,1962,Average,9842,Regular,0,2,,0,,0,0,462,1224,0,AllUtilitiesAvl,4,101800
1-STORY 1946 & NEWER ALL STYLES,OneFam,1188,NAmes,Average,2,1959,1959,Average,12160,SlightlyIrregular,0,1,AverageRecRoom,1000,Unfinshed,0,1188,531,1188,0,AllUtilitiesAvl,5,142000
2-STORY 1945 & OLDER,OneFam,1964,SWISU,Average,0,1911,1950,Average,8525,Regular,0,1,Unfinshed,0,Unfinshed,0,940,0,1024,940,AllUtilitiesAvl,5,130000
2-STORY 1945 & OLDER,OneFam,1784,Crawfor,Average,1,1914,1950,Average,13132,Regular,0,1,Unfinshed,0,Unfinshed,0,747,180,892,892,AllUtilitiesAvl,5,138887
2-STORY PUD - 1946 & NEWER,Twnhs,1626,NridgHt,Good,2,2003,2003,Good,2628,Regular,0,2,Unfinshed,0,Unfinshed,0,764,474,764,862,AllUtilitiesAvl,7,175500
2-STORY 1946 & NEWER,OneFam,1948,CollgCr,Good,2,2004,2005,Good,12393,ModeratelyIrregular,1,2,Unfinshed,0,Unfinshed,0,847,434,847,1101,AllUtilitiesAvl,7,195000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1141,SawyerW,Average,2,2005,2005,Good,13072,Regular,0,1,Unfinshed,0,Unfinshed,0,1141,484,1141,0,AllUtilitiesAvl,6,142500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1484,Timber,Excellent,2,2006,2006,Good,9037,SlightlyIrregular,1,2,GoodLivingQuarters,428,Unfinshed,0,1476,472,1484,0,AllUtilitiesAvl,8,265900
2-STORY 1946 & NEWER,OneFam,1768,CollgCr,Good,2,2003,2003,Good,8158,Regular,0,2,GoodLivingQuarters,550,Unfinshed,0,884,543,884,884,AllUtilitiesAvl,7,224900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1689,Somerst,Good,3,2007,2007,Good,9849,Regular,0,2,Unfinshed,0,Unfinshed,0,1689,954,1689,0,AllUtilitiesAvl,7,248328
SPLIT FOYER,OneFam,1173,NWAmes,Good,2,1974,1974,Average,10625,Regular,2,2,GoodLivingQuarters,885,LowQuality,168,1053,528,1173,0,AllUtilitiesAvl,7,170000
1-STORY 1946 & NEWER ALL STYLES,OneFam,2076,NridgHt,Excellent,3,2006,2006,Excellent,13891,Regular,1,2,GoodLivingQuarters,1386,Unfinshed,0,2076,850,2076,0,AllUtilitiesAvl,10,465000
2-STORY 1945 & OLDER,OneFam,1517,Crawfor,Good,2,1929,1950,Average,11435,SlightlyIrregular,2,1,Unfinshed,0,Unfinshed,0,792,400,792,725,AllUtilitiesAvl,8,230000
SPLIT OR MULTI-LEVEL,OneFam,1868,NWAmes,Average,2,1984,2003,Average,12090,Regular,1,3,Unfinshed,0,Unfinshed,0,585,477,1140,728,AllUtilitiesAvl,6,178000
2-STORY 1946 & NEWER,OneFam,1553,Somerst,Good,2,2005,2006,Good,8125,Regular,0,2,Unfinshed,0,Unfinshed,0,756,615,756,797,AllUtilitiesAvl,7,186500
SPLIT OR MULTI-LEVEL,OneFam,1034,Mitchel,Average,3,1976,1976,Average,12328,SlightlyIrregular,0,1,GoodLivingQuarters,539,Unfinshed,0,1012,888,1034,0,AllUtilitiesAvl,6,169900
2-1/2 STORY ALL AGES,OneFam,2058,OldTown,Average,2,1917,1950,Average,9600,Regular,1,1,AverageRecRoom,319,Unfinshed,0,735,396,1134,924,AllUtilitiesAvl,6,129500
1-STORY 1946 & NEWER ALL STYLES,OneFam,988,NAmes,Average,1,1950,1950,Average,7200,Regular,0,1,BelowAverageLivingQuarters,534,AverageRecRoom,96,876,276,988,0,AllUtilitiesAvl,5,119000
1-STORY 1946 & NEWER ALL STYLES,OneFam,2110,NAmes,Excellent,2,1968,1968,Good,11160,Regular,2,2,AverageLivingQuarters,1065,Unfinshed,0,2110,522,2110,0,AllUtilitiesAvl,7,244000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1405,NridgHt,Good,2,2003,2003,Good,3136,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1405,478,1405,0,AllUtilitiesAvl,7,171750
1-STORY 1946 & NEWER ALL STYLES,OneFam,874,Mitchel,Average,1,1968,1968,Average,9858,Regular,0,1,BelowAverageLivingQuarters,510,Unfinshed,0,864,288,874,0,AllUtilitiesAvl,5,130000
2-STORY 1946 & NEWER,OneFam,2167,Veenker,Good,2,1974,2003,Good,17542,SlightlyIrregular,2,2,LowQuality,125,AverageLivingQuarters,1031,1192,518,1516,651,AllUtilitiesAvl,7,294000
2-STORY 1946 & NEWER,OneFam,1656,Edwards,Good,2,2003,2004,Good,6931,Regular,1,2,Unfinshed,0,Unfinshed,0,746,397,760,896,AllUtilitiesAvl,7,165400
1-1/2 STORY FINISHED ALL AGES,OneFam,1367,BrkSide,Average,1,1931,1950,Average,6240,Regular,1,1,LowQuality,425,Unfinshed,0,884,560,959,408,AllUtilitiesAvl,6,127500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1987,NoRidge,Good,2,1994,1994,Good,14303,SlightlyIrregular,1,2,GoodLivingQuarters,1314,Unfinshed,0,1986,691,1987,0,AllUtilitiesAvl,8,301500
1-STORY 1945 & OLDER,OneFam,864,Edwards,Average,0,1922,1950,Average,4060,Regular,0,1,Unfinshed,0,Unfinshed,0,864,0,864,0,AllUtilitiesAvl,5,99900
SPLIT OR MULTI-LEVEL,OneFam,1166,Gilbert,Good,2,2005,2005,Good,9587,SlightlyIrregular,0,2,GoodLivingQuarters,655,Unfinshed,0,856,400,1166,0,AllUtilitiesAvl,7,190000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1054,NAmes,Average,2,1969,1969,Average,9750,Regular,0,1,AverageLivingQuarters,602,LowQuality,438,1054,460,1054,0,AllUtilitiesAvl,6,151000
2-STORY 1946 & NEWER,OneFam,1675,Gilbert,Average,2,1999,1999,Average,24682,Irregular,1,2,Unfinshed,0,Unfinshed,0,841,502,892,783,AllUtilitiesAvl,6,181000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1050,NAmes,Average,1,1956,1956,Average,9600,Regular,0,1,AverageRecRoom,504,Unfinshed,0,1050,338,1050,0,AllUtilitiesAvl,5,128900
1-1/2 STORY FINISHED ALL AGES,OneFam,1788,ClearCr,Average,1,1957,1989,Average,11250,Regular,2,1,Unfinshed,0,Unfinshed,0,1104,304,1104,684,AllUtilitiesAvl,4,161500
2-STORY 1945 & OLDER,OneFam,1824,BrkSide,Average,2,1919,1950,Average,13515,Regular,1,1,Unfinshed,0,Unfinshed,0,764,520,1060,764,AllUtilitiesAvl,6,180500
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1337,NAmes,Good,2,1998,1999,Good,4060,Regular,0,2,GoodLivingQuarters,266,Unfinshed,0,1405,511,1337,0,AllUtilitiesAvl,6,181000
2-STORY PUD - 1946 & NEWER,TownhouseEndUnit,1452,Somerst,Good,2,1999,1999,Good,3735,Regular,0,2,GoodLivingQuarters,450,Unfinshed,0,691,506,713,739,AllUtilitiesAvl,7,183900
2 FAMILY CONVERSION - ALL STYLES AND AGES,2fmCon,1889,OldTown,Average,1,1910,1950,Fair,10120,SlightlyIrregular,1,1,Unfinshed,0,Unfinshed,0,925,308,964,925,AllUtilitiesAvl,7,122000
1-STORY 1946 & NEWER ALL STYLES,OneFam,2018,Timber,Excellent,3,2008,2009,Excellent,13214,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,2002,746,2018,0,AllUtilitiesAvl,9,378500
1-1/2 STORY FINISHED ALL AGES,OneFam,3447,Crawfor,Good,3,1935,1997,Average,14100,SlightlyIrregular,2,3,AverageRecRoom,192,Unfinshed,0,728,1014,1968,1479,AllUtilitiesAvl,8,381000
1-1/2 STORY FINISHED ALL AGES,OneFam,1524,NAmes,Average,1,1958,1958,Average,11344,Regular,0,1,BelowAverageLivingQuarters,460,Unfinshed,0,874,315,874,650,AllUtilitiesAvl,5,144000
1-STORY W/FINISHED ATTIC ALL AGES,OneFam,1524,ClearCr,Good,2,1979,1979,Good,23595,Regular,1,0,GoodLivingQuarters,1258,Unfinshed,0,1332,586,1332,192,AllUtilitiesAvl,7,260000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1489,NWAmes,Good,2,1968,1968,Average,9156,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1489,462,1489,0,AllUtilitiesAvl,6,185750
1-STORY 1946 & NEWER ALL STYLES,OneFam,935,Sawyer,Average,1,1965,1965,Average,13526,SlightlyIrregular,0,1,BelowAverageLivingQuarters,560,LowQuality,375,935,288,935,0,AllUtilitiesAvl,5,137000
SPLIT OR MULTI-LEVEL,OneFam,1357,Edwards,Excellent,1,1959,2006,Average,11512,SlightlyIrregular,1,1,AverageLivingQuarters,719,Unfinshed,0,1019,312,1357,0,AllUtilitiesAvl,6,177000
1-1/2 STORY FINISHED ALL AGES,OneFam,1250,Crawfor,Average,2,1910,2003,Average,5362,Regular,1,2,Unfinshed,0,Unfinshed,0,661,552,661,589,AllUtilitiesAvl,5,139000
DUPLEX - ALL STYLES AND AGES,Duplex,1920,NAmes,Average,2,1948,1950,Average,11345,Regular,0,2,AverageRecRoom,220,Unfinshed,0,928,400,928,992,AllUtilitiesAvl,5,137000
2-STORY 1946 & NEWER,OneFam,1395,NWAmes,Average,2,1972,1972,Average,12936,SlightlyIrregular,1,1,BelowAverageLivingQuarters,593,Unfinshed,0,723,497,735,660,AllUtilitiesAvl,6,162000
SPLIT OR MULTI-LEVEL,OneFam,1724,NWAmes,Average,2,1967,1976,Average,17871,SlightlyIrregular,1,1,AverageLivingQuarters,528,Unfinshed,0,1680,480,1724,0,AllUtilitiesAvl,6,197900
2-STORY 1946 & NEWER,OneFam,2031,CollgCr,Good,2,2002,2002,Good,9473,Regular,1,2,GoodLivingQuarters,804,Unfinshed,0,1128,577,1128,903,AllUtilitiesAvl,8,237000
1-1/2 STORY FINISHED ALL AGES,OneFam,1128,IDOTRR,Average,2,1920,1950,Average,7500,Regular,0,1,Unfinshed,0,Unfinshed,0,698,528,698,430,AllUtilitiesAvl,4,68400
1-STORY 1946 & NEWER ALL STYLES,OneFam,1573,CollgCr,Good,2,2002,2002,Good,9808,SlightlyIrregular,0,2,GoodLivingQuarters,788,Unfinshed,0,1573,544,1573,0,AllUtilitiesAvl,7,227000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1339,Timber,Average,2,1990,1990,Average,8049,SlightlyIrregular,1,2,AverageLivingQuarters,1053,Unfinshed,0,1309,484,1339,0,AllUtilitiesAvl,7,180000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1040,CollgCr,Good,2,1977,2008,Average,8800,SlightlyIrregular,0,2,LowQuality,532,AverageRecRoom,144,1040,484,1040,0,AllUtilitiesAvl,5,150500
DUPLEX - ALL STYLES AND AGES,Duplex,1824,Mitchel,Average,0,1971,1971,Average,9400,Regular,0,2,Unfinshed,0,Unfinshed,0,912,0,912,912,AllUtilitiesAvl,6,139000
1-1/2 STORY FINISHED ALL AGES,OneFam,2447,SWISU,Good,1,1919,1990,Average,9638,Regular,1,2,Unfinshed,0,Unfinshed,0,804,336,1699,748,AllUtilitiesAvl,6,169000
1-1/2 STORY FINISHED ALL AGES,OneFam,1412,BrkSide,Average,1,1939,1950,Average,6000,Regular,1,1,Unfinshed,0,Unfinshed,0,780,280,825,587,AllUtilitiesAvl,6,132500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1328,NWAmes,Average,2,1963,1963,Average,9790,Regular,2,1,AverageLivingQuarters,569,AverageRecRoom,81,1328,528,1328,0,AllUtilitiesAvl,6,143000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1582,ClearCr,Average,2,1964,1964,Average,36500,SlightlyIrregular,0,2,AverageRecRoom,812,Unfinshed,0,1624,390,1582,0,AllUtilitiesAvl,5,190000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1659,StoneBr,Excellent,2,2000,2000,Good,5664,SlightlyIrregular,1,2,GoodLivingQuarters,1158,Unfinshed,0,1501,499,1659,0,AllUtilitiesAvl,8,278000
2-STORY 1946 & NEWER,OneFam,1970,NridgHt,Excellent,3,2006,2006,Good,11065,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1085,753,1120,850,AllUtilitiesAvl,8,281000
SPLIT OR MULTI-LEVEL,OneFam,1152,NAmes,Average,2,1964,1964,Average,14112,SlightlyIrregular,1,1,GoodLivingQuarters,1014,Unfinshed,0,1152,484,1152,0,AllUtilitiesAvl,5,180500
2-STORY PUD - 1946 & NEWER,Twnhs,1302,BrDale,Average,1,1972,1972,Average,1680,Regular,0,2,AverageLivingQuarters,231,Unfinshed,0,630,264,630,672,AllUtilitiesAvl,5,119500
2-STORY 1945 & OLDER,OneFam,2372,OldTown,Average,1,1892,1965,Average,6600,Regular,0,2,Unfinshed,0,Unfinshed,0,994,432,1378,994,AllUtilitiesAvl,5,107500
2-STORY 1946 & NEWER,OneFam,1664,NWAmes,Average,2,1976,1976,Average,10140,Regular,1,2,GoodLivingQuarters,194,Unfinshed,0,832,528,832,832,AllUtilitiesAvl,7,162900
1-STORY 1946 & NEWER ALL STYLES,OneFam,864,Edwards,Average,2,1955,1990,Average,8172,Regular,0,1,AverageRecRoom,167,Unfinshed,0,864,572,864,0,AllUtilitiesAvl,5,115000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1052,NAmes,Average,1,1968,1968,Average,8400,Regular,0,1,BelowAverageLivingQuarters,1016,Unfinshed,0,1052,288,1052,0,AllUtilitiesAvl,5,138500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1128,NAmes,Average,2,1963,1963,Average,8700,Regular,0,2,AverageLivingQuarters,776,Unfinshed,0,1120,525,1128,0,AllUtilitiesAvl,5,155000
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,TownhouseEndUnit,1072,Edwards,Average,2,2005,2006,Average,3675,Regular,0,2,GoodLivingQuarters,547,Unfinshed,0,547,525,1072,0,AllUtilitiesAvl,6,140000
